fiscalDateEnding,reportedEPS,Ticker
2025-03-31,3.51,WEX
2024-12-31,15.28,WEX
2023-12-31,14.81,WEX
2022-12-31,13.54,WEX
2021-12-31,9.13,WEX
2020-12-31,6.06,WEX
2019-12-31,9.2,WEX
2018-12-31,8.2,WEX
2017-12-31,5.41,WEX
2016-12-31,4.58,WEX
2015-12-31,4.18,WEX
2014-12-31,4.97,WEX
2013-12-31,4.45,WEX
2012-12-31,4.06,WEX
2011-12-31,3.63,WEX
2010-12-31,2.75,WEX
2009-12-31,2.18,WEX
2008-12-31,1.88,WEX
2007-12-31,1.9,WEX
2006-12-31,1.36,WEX
2005-12-31,1.2,WEX
